t,Vel,Motor,Marcha
205.0,22.45,11.53,0.0
204.0,22.57,4.34,0.0
203.0,22.84,4.34,0.0
202.0,23.15,4.34,0.0
201.0,23.45,4.34,0.0
200.0,23.76,4.34,0.0
199.0,24.06,4.34,0.0
198.0,24.34,4.34,0.0
197.0,24.65,4.34,0.0
196.0,24.96,4.34,0.0
195.0,25.27,4.34,0.0
194.0,25.59,4.34,0.0
193.0,25.88,4.34,0.0
192.0,26.2,4.34,0.0
191.0,26.52,4.34,0.0
190.0,26.84,4.34,0.0
189.0,27.16,4.34,0.0
188.0,27.46,4.34,0.0
187.0,27.8,4.34,0.0
186.0,28.12,4.34,0.0
185.0,28.45,4.34,0.0
184.0,28.79,4.34,0.0
183.0,29.1,4.34,0.0
182.0,29.43,4.34,0.0
181.0,29.77,4.34,0.0
180.0,30.13,4.36,0.0
179.0,30.47,4.39,0.0
178.0,30.79,4.51,0.0
177.0,31.14,4.94,0.0
176.0,31.49,6.44,0.0
175.0,31.85,11.74,0.0
174.0,32.21,30.45,0.0
173.0,32.54,87.62,0.0
172.0,36.22,313.42,0.0
171.0,48.48,1113.29,0.0
170.0,57.38,3029.71,0.69
169.0,63.5,3303.03,1.0
168.0,68.87,3500.33,1.0
167.0,75.1,3745.49,1.0
166.0,82.64,3068.06,1.0
165.0,91.47,3247.65,1.0
164.0,100.23,3461.16,1.0
163.0,101.05,3413.27,1.0
162.0,96.53,4564.7,1.0
161.0,92.17,4405.1,1.0
160.0,87.55,4224.56,1.0
159.0,82.71,4028.96,1.0
158.0,78.06,3844.03,1.0
157.0,72.56,3651.51,1.0
156.0,65.27,4490.31,1.0
155.0,57.64,4065.56,1.0
154.0,49.62,3604.28,0.93
153.0,42.16,3196.26,1.0
152.0,34.51,2418.51,0.5
151.0,31.33,454.24,0.11
150.0,31.7,19.43,0.0
149.0,32.05,11.89,0.0
148.0,32.38,28.43,0.0
147.0,32.74,89.33,0.0
146.0,33.11,169.68,0.0
145.0,33.47,317.52,0.0
144.0,33.84,667.4,0.0
143.0,34.2,660.43,0.02
142.0,34.53,26.62,0.0
141.0,34.91,82.95,0.0
140.0,35.29,188.29,0.0
139.0,35.67,575.79,0.0
138.0,36.04,1371.01,0.04
137.0,33.36,1166.05,0.04
136.0,29.49,2132.89,0.44
135.0,29.19,4.35,0.0
134.0,29.53,4.38,0.0
133.0,29.84,4.45,0.0
132.0,33.97,4.74,0.0
131.0,34.82,5.76,0.0
130.0,35.2,9.34,0.0
129.0,35.58,21.98,0.0
128.0,35.97,66.58,0.0
127.0,36.38,235.3,0.0
126.0,36.77,821.39,0.0
125.0,34.69,2321.72,0.46
124.0,33.82,4.34,0.0
123.0,34.19,4.34,0.0
122.0,34.54,4.34,0.0
121.0,34.92,4.34,0.0
120.0,35.31,4.34,0.0
119.0,35.7,4.34,0.0
118.0,36.09,4.34,0.0
117.0,36.48,4.34,0.0
116.0,36.87,4.34,0.0
115.0,37.24,4.34,0.0
114.0,37.64,4.34,0.0
113.0,38.02,4.34,0.0
112.0,38.44,4.34,0.0
111.0,38.85,4.34,0.0
110.0,39.27,4.35,0.0
109.0,39.69,4.36,0.0
108.0,40.08,4.41,0.0
107.0,40.51,4.6,0.0
106.0,40.94,5.24,0.0
