t,Vel,Motor,Marcha
1730932426.07,0.0,4.31,1.45
1730932427.07,0.0,4.68,1.45
1730932428.06,0.0,4.32,1.45
1730932429.06,0.0,4.31,1.45
1730932430.06,0.0,4.3,1.45
1730932431.07,0.0,4.44,1.45
1730932432.13,0.0,5.22,1.45
1730932433.07,0.0,5.54,1.45
1730932434.06,0.0,6.13,1.45
1730932435.06,0.0,4.37,1.45
1730932436.07,0.0,4.31,1.45
1730932437.07,0.0,4.3,1.45
1730932438.07,0.0,4.3,1.45
1730932439.07,0.0,4.7,1.45
1730932440.07,0.0,4.32,1.45
1730932441.07,0.0,4.3,1.45
1730932442.07,0.0,4.3,1.45
1730932443.12,0.0,4.3,1.45
1730932444.06,0.0,4.3,1.45
1730932445.07,0.0,4.3,1.45
1730932446.07,0.0,5.68,1.45
1730932447.07,0.0,4.36,1.45
1730932448.07,0.0,4.31,1.45
1730932449.08,0.0,4.41,1.45
1730932450.07,0.0,4.31,1.45
1730932451.07,0.0,4.3,1.45
1730932452.07,0.0,4.3,1.45
1730932453.07,0.0,4.61,1.45
1730932454.13,0.0,11.45,1.45
1730932455.06,0.0,4.63,1.45
1730932456.06,0.0,4.71,1.45
1730932457.06,0.0,6.97,1.45
1730932458.06,0.0,4.4,1.45
1730932459.06,0.0,23.65,1.45
1730932460.07,0.0,27.87,1.45
1730932461.07,0.0,5.58,1.45
1730932462.06,0.0,4.35,1.45
1730932463.06,0.0,4.31,1.45
1730932464.06,0.0,4.3,1.45
1730932465.07,0.57,522.73,1.45
1730932466.07,0.27,15.44,1.45
1730932467.06,0.0,4.73,1.45
1730932468.06,0.0,4.32,1.45
1730932476.07,0.0,4.3,1.45
1730932477.06,0.0,4.3,1.45
1730932478.07,0.0,4.3,1.45
1730932479.07,0.0,4.3,1.45
1730932480.07,0.0,4.3,1.45
1730932481.13,0.0,4.3,1.45
1730932482.06,0.0,4.3,1.45
1730932483.07,0.0,4.3,1.45
1730932484.07,14.14,2080.76,36.52
1730932485.07,34.33,2654.04,51.85
1730932486.07,48.14,2672.44,56.61
1730932487.07,60.21,3102.33,69.08
1730932488.07,72.7,3634.87,94.1
1730932489.08,85.14,4127.74,99.97
